eventID,eventDate,year,month,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,type,geodeticDatum,samplingProtocol,scientificName,scientificNameID,occurrenceStatus,occurrenceID,kingdom,phylum,class,order,sex,lifeStage,organismQuantity,organismQuantityType,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,associatedTaxa
npmsdd-44-116,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,npmsdd-44-116-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-116,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-44-116-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-116-p
npmsdd-44-117,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,npmsdd-44-117-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-117,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Miscellaneous, ,present,npmsdd-44-117-pr1,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-117-p
npmsdd-44-118,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,npmsdd-44-118-p,NA,NA,NA,NA,male,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-118,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Miscellaneous, ,present,npmsdd-44-118-pr1,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-118-p
npmsdd-44-119,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,npmsdd-44-119-p,NA,NA,NA,NA,male,immature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-119,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-44-119-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-119-p
npmsdd-44-120,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,npmsdd-44-120-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-120,1959-05-22,1959,5,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Miscellaneous, ,present,npmsdd-44-120-pr1,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-120-p
npmsdd-44-121,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-121-p,NA,NA,NA,NA,unspecified,NA,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-121,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-44-121-pr1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-121-p
npmsdd-44-122,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-122-p,NA,NA,NA,NA,unspecified,NA,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-122,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-44-122-pr1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-122-p
npmsdd-44-122,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Brachyura,urn:lsid:marinespecies.org:taxname:106673,present,npmsdd-44-122-pr2,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-122-p
npmsdd-44-123,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-123-p,NA,NA,NA,NA,unspecified,NA,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-123,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-44-123-pr1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-123-p
npmsdd-44-124,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-124-p,NA,NA,NA,NA,unspecified,NA,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-124,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Miscellaneous, ,present,npmsdd-44-124-pr1,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-124-p
npmsdd-44-125,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-125-p,NA,NA,NA,NA,unspecified,NA,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-125,1960-07-28,1960,7,52.47311145737662,-152.50000000000003,"POLYGON ((-180.00000 65.00000, -180.00000 35.00000, -125.00000 35.00000, -125.00000 65.00000, -180.00000 65.00000))",2913457.9699873268,0,70,Event,EPSG:4326, ,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-44-125-pr1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-125-p
npmsdd-44-1827,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1827-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1827,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,npmsdd-44-1827-pr1,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1827-p
npmsdd-44-1828,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1828-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1828,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,npmsdd-44-1828-pr1,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1828-p
npmsdd-44-1829,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1829-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1829,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-44-1829-pr1,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1829-p
npmsdd-44-1830,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1830-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1830,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Miscellaneous, ,present,npmsdd-44-1830-pr1,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1830-p
npmsdd-44-1831,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1831-p,NA,NA,NA,NA,female,mature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1831,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-44-1831-pr1,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1831-p
npmsdd-44-1832,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,npmsdd-44-1832-p,NA,NA,NA,NA,male,immature,1,individuals,PreservedSpecimen, , , , ,
npmsdd-44-1832,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-44-1832-pr1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1832-p
npmsdd-44-1832,1959-05-18,1959,5,50,-145,POINT (-145 50),0,0,70,Event,EPSG:4326, ,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-44-1832-pr2,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-44-1832-p
